team_id,team,team_abbrev,athlete_id,player,position,jersey,age,height_inches,weight_lbs,experience_years,status,headshot
18,New York Knicks,NY,3934672,Jalen Brunson,Guard,11,29,74.0,190.0,7,Active,https://a.espncdn.com/i/headshots/nba/players/full/3934672.png
18,New York Knicks,NY,2528426,Jordan Clarkson,Guard,00,33,77.0,194.0,11,Active,https://a.espncdn.com/i/headshots/nba/players/full/2528426.png
18,New York Knicks,NY,5211983,Pacome Dadiet,Forward,4,20,81.0,210.0,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/5211983.png
18,New York Knicks,NY,5289900,Mohamed Diawara,Forward,51,21,81.0,225.0,0,Active,https://a.espncdn.com/i/headshots/nba/players/full/5289900.png
18,New York Knicks,NY,3062679,Josh Hart,Guard,3,31,77.0,215.0,8,Active,https://a.espncdn.com/i/headshots/nba/players/full/3062679.png
18,New York Knicks,NY,4871141,Ariel Hukporti,Center,55,24,84.0,246.0,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4871141.png
18,New York Knicks,NY,4395623,Trey Jemison III,Forward,50,26,82.0,270.0,2,Active,https://a.espncdn.com/i/headshots/nba/players/full/4395623.png
18,New York Knicks,NY,4702159,Dillon Jones,Forward,33,24,77.0,235.0,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4702159.png
18,New York Knicks,NY,4433225,Tyler Kolek,Guard,13,25,74.0,195.0,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4433225.png
18,New York Knicks,NY,4431823,Miles McBride,Guard,2,25,74.0,195.0,4,Active,https://a.espncdn.com/i/headshots/nba/players/full/4431823.png
18,New York Knicks,NY,4411057,Kevin McCullar Jr.,Guard,9,25,78.0,210.0,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4411057.png
18,New York Knicks,NY,4351852,Mitchell Robinson,Center,23,28,84.0,240.0,7,Active,https://a.espncdn.com/i/headshots/nba/players/full/4351852.png
18,New York Knicks,NY,3914044,Landry Shamet,Guard,44,29,77.0,190.0,7,Active,https://a.espncdn.com/i/headshots/nba/players/full/3914044.png
18,New York Knicks,NY,4610139,Jeremy Sochan,Forward,20,23,80.0,230.0,3,Active,https://a.espncdn.com/i/headshots/nba/players/full/4610139.png
18,New York Knicks,NY,3136195,Karl-Anthony Towns,Center,32,30,84.0,248.0,10,Active,https://a.espncdn.com/i/headshots/nba/players/full/3136195.png
