game_date,home_team,away_team,home_odds,away_odds,home_score,away_score,home_win,season,source_query,source,market_home_raw_prob,market_away_raw_prob,market_home_no_vig_prob,home_decimal_odds,away_decimal_odds,home_games_played,home_win_pct,home_last5_win_pct,home_gf_per_game,home_ga_per_game,home_goal_diff_per_game,home_last5_gf_per_game,home_last5_ga_per_game,home_rest_days,away_games_played,away_win_pct,away_last5_win_pct,away_gf_per_game,away_ga_per_game,away_goal_diff_per_game,away_last5_gf_per_game,away_last5_ga_per_game,away_rest_days,home_is_favorite,home_form_edge,home_goal_diff_edge,home_rest_edge,home_market_edge_feature
2022-10-19,SEA,STL,112,-134,3,4,0,20222023,St. Louis Blues lowest moneyline 2022-23,statmuse,0.4716981132075472,0.5726495726495726,0.45166769610870916,2.12,1.7462686567164178,10.0,0.5,0.2,2.9,2.8,0.1,2.8,4.2,2.0,9.0,0.7777777777777778,0.6,3.7777777777777777,2.5555555555555554,1.2222222222222223,3.4,3.2,4.0,0,-0.39999999999999997,-1.1222222222222222,-2.0,-0.04833230389129084
2022-10-20,CBJ,NSH,121,-145,5,3,1,20222023,Columbus Blue Jackets lowest moneyline 2022-23,statmuse,0.45248868778280543,0.5918367346938775,0.43328322574940314,2.21,1.6896551724137931,12.0,0.4166666666666667,0.2,2.9166666666666665,3.25,-0.3333333333333333,2.4,4.2,2.0,10.0,0.6,0.4,3.2,2.4,0.8,2.4,3.2,2.0,0,-0.2,-1.1333333333333333,0.0,-0.06671677425059686
2022-10-20,CGY,BUF,-289,234,3,6,0,20222023,Buffalo Sabres highest moneyline 2022-23,statmuse,0.7429305912596401,0.2994011976047904,0.7127582591230635,1.3460207612456747,3.34,11.0,0.6363636363636364,0.6,2.8181818181818183,2.3636363636363638,0.45454545454545453,3.0,3.6,2.0,9.0,0.6666666666666666,0.6,2.888888888888889,2.7777777777777777,0.1111111111111111,3.2,3.2,2.0,1,0.0,0.3434343434343434,0.0,0.21275825912306345
2022-10-20,EDM,CAR,-115,-106,6,4,1,20222023,Carolina Hurricanes highest moneyline 2022-23,statmuse,0.5348837209302325,0.5145631067961165,0.5096815834767643,1.8695652173913042,1.9433962264150944,11.0,0.5454545454545454,0.4,3.1818181818181817,2.8181818181818183,0.36363636363636365,3.8,3.8,2.0,8.0,0.875,0.8,4.375,1.75,2.625,4.2,1.6,3.0,1,-0.4,-2.2613636363636362,-1.0,0.009681583476764288
2022-10-20,MIN,VAN,-181,151,4,3,1,20222023,Minnesota Wild lowest moneyline 2022-23,statmuse,0.6441281138790036,0.398406374501992,0.6178482544777034,1.5524861878453038,2.51,10.0,0.6,0.4,3.9,3.2,0.7,4.2,4.4,3.0,11.0,0.18181818181818182,0.2,2.5454545454545454,4.0,-1.4545454545454546,3.2,3.6,2.0,1,0.2,2.1545454545454543,1.0,0.11784825447770342
2022-10-20,MTL,ARI,-178,148,6,2,1,20222023,Arizona Coyotes lowest moneyline 2022-23,statmuse,0.6402877697841727,0.4032258064516129,0.6135883464917158,1.5617977528089888,2.48,12.0,0.16666666666666666,0.4,2.1666666666666665,3.5,-1.3333333333333333,2.0,2.8,3.0,10.0,0.1,0.2,2.3,4.2,-1.9,2.0,4.6,3.0,1,0.2,0.5666666666666667,0.0,0.11358834649171579
2022-10-20,NYI,NJD,-151,128,1,4,0,20222023,New Jersey Devils highest moneyline 2022-23,statmuse,0.601593625498008,0.43859649122807015,0.5783496841822336,1.6622516556291391,2.2800000000000002,9.0,0.6666666666666666,0.8,3.2222222222222223,2.3333333333333335,0.8888888888888888,4.2,1.8,2.0,10.0,0.6,0.4,2.8,2.6,0.2,3.0,4.0,2.0,1,0.4,0.6888888888888889,0.0,0.07834968418223365
2022-10-20,NYR,SJS,-289,233,2,3,0,20222023,New York Rangers lowest moneyline 2022-23,statmuse,0.7429305912596401,0.3003003003003003,0.7121439724131807,1.3460207612456747,3.33,10.0,0.5,0.6,3.2,3.0,0.2,3.6,3.0,3.0,11.0,0.45454545454545453,0.0,2.727272727272727,3.090909090909091,-0.36363636363636365,1.6,3.8,2.0,1,0.6,0.5636363636363637,1.0,0.21214397241318073
2022-10-20,PIT,LAK,-194,160,6,1,1,20222023,Los Angeles Kings highest moneyline 2022-23,statmuse,0.6598639455782312,0.38461538461538464,0.6317635270541082,1.5154639175257731,2.6,9.0,0.5555555555555556,0.8,3.4444444444444446,2.888888888888889,0.5555555555555556,4.8,2.0,3.0,12.0,0.5,0.6,3.4166666666666665,3.5833333333333335,-0.16666666666666666,4.0,4.2,2.0,1,0.20000000000000007,0.7222222222222222,1.0,0.1317635270541082
2022-10-20,TOR,DAL,-187,154,3,2,1,20222023,Dallas Stars highest moneyline 2022-23,statmuse,0.6515679442508711,0.3937007874015748,0.623349694217696,1.53475935828877,2.54,11.0,0.6363636363636364,0.6,3.4545454545454546,2.3636363636363638,1.0909090909090908,3.2,2.6,3.0,10.0,0.5,0.6,2.7,2.7,0.0,3.0,2.0,3.0,1,0.0,1.0909090909090908,0.0,0.12334969421769604
2022-10-20,VGK,WPG,-230,187,5,2,1,20222023,Vegas Golden Knights lowest moneyline 2022-23,statmuse,0.696969696969697,0.34843205574912894,0.6667003332996667,1.434782608695652,2.87,11.0,0.6363636363636364,0.8,3.5454545454545454,2.6363636363636362,0.9090909090909091,3.4,1.8,2.0,9.0,0.6666666666666666,0.8,3.3333333333333335,2.6666666666666665,0.6666666666666666,3.8,2.2,1.0,1,0.0,0.24242424242424243,1.0,0.16670033329966671
