entity,season_type,playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
goalies,regular,8478499,2025,Adin Hill,VGK,G,5on4,27,5975.0,1.31,2.0,23.0,0.73,1.0,1.97,2.0,15.24,20.0,3.09,0.0,5.07,2.0,11.43,14.0,1.29,15.0,5.0,1.0,0.36,0.68,0.27,0.0,2.0,0.0,2.0,2.0,1.0
goalies,regular,8481033,2025,Akira Schmid,VGK,G,other,34,2783.0,9.06,10.0,102.0,4.86,9.0,12.53,7.0,63.71,58.0,0.97,0.0,32.89,31.0,20.6,25.0,8.44,45.0,24.0,13.0,1.96,3.19,3.9,2.0,4.0,4.0,20.0,0.0,0.0
goalies,regular,8481033,2025,Akira Schmid,VGK,G,all,34,117947.0,84.0,85.0,1805.0,62.95,114.0,230.8,155.0,937.67,791.0,34.63,1.0,506.79,483.0,367.98,447.0,80.36,977.0,215.0,93.0,28.93,27.23,27.84,37.0,25.0,23.0,520.0,0.0,0.0
goalies,regular,8481033,2025,Akira Schmid,VGK,G,5on5,34,100420.0,62.53,59.0,1508.0,49.6,97.0,196.94,129.0,768.53,631.0,28.28,1.0,416.39,405.0,307.44,369.0,59.89,839.0,155.0,66.0,24.42,19.79,18.32,33.0,15.0,11.0,448.0,0.0,0.0
goalies,regular,8481033,2025,Akira Schmid,VGK,G,4on5,34,7239.0,11.1,13.0,170.0,7.55,7.0,18.45,17.0,87.59,85.0,0.62,0.0,51.49,44.0,27.68,38.0,10.71,75.0,30.0,14.0,2.0,3.47,5.62,2.0,3.0,8.0,51.0,0.0,0.0
goalies,regular,8481033,2025,Akira Schmid,VGK,G,5on4,34,7505.0,1.12,2.0,21.0,0.79,1.0,2.39,0.0,15.41,14.0,4.69,0.0,5.08,3.0,11.11,15.0,1.12,16.0,5.0,0.0,0.47,0.65,0.0,0.0,2.0,0.0,0.0,0.0,0.0
goalies,playoffs,8475883,2025,Frederik Andersen,CAR,G,other,15,2707.0,3.72,4.0,58.0,2.0,5.0,6.08,6.0,26.89,28.0,0.94,1.0,15.21,12.0,8.85,10.0,3.46,21.0,11.0,5.0,0.58,1.5,1.64,0.0,3.0,1.0,21.0,0.0,0.0
goalies,playoffs,8475883,2025,Frederik Andersen,CAR,G,all,15,58458.0,36.13,28.0,737.0,25.88,38.0,94.58,48.0,386.61,338.0,19.78,3.0,198.37,193.0,145.05,205.0,34.7,365.0,108.0,40.0,10.65,13.88,11.6,5.0,14.0,9.0,224.0,2.0,1.0
goalies,playoffs,8475883,2025,Frederik Andersen,CAR,G,5on5,15,44479.0,26.98,20.0,579.0,19.31,30.0,76.92,33.0,303.34,261.0,15.33,2.0,153.71,153.0,115.0,166.0,25.92,290.0,84.0,28.0,8.59,10.82,7.57,5.0,10.0,5.0,177.0,2.0,1.0
goalies,playoffs,8475883,2025,Frederik Andersen,CAR,G,4on5,15,5396.0,4.32,4.0,85.0,4.13,2.0,9.91,9.0,46.01,36.0,0.75,0.0,26.69,25.0,14.45,20.0,4.24,46.0,10.0,5.0,1.2,1.25,1.87,0.0,1.0,3.0,24.0,0.0,0.0
goalies,playoffs,8475883,2025,Frederik Andersen,CAR,G,5on4,15,5876.0,1.11,0.0,15.0,0.43,1.0,1.66,0.0,10.38,13.0,2.76,0.0,2.76,3.0,6.74,9.0,1.08,8.0,3.0,2.0,0.27,0.32,0.51,0.0,0.0,0.0,2.0,0.0,0.0
goalies,playoffs,8479394,2025,Carter Hart,VGK,G,other,18,2638.0,5.42,2.0,90.0,3.3,2.0,9.19,4.0,45.01,39.0,0.42,0.0,29.37,36.0,13.19,18.0,5.11,43.0,15.0,4.0,1.95,1.62,1.85,0.0,1.0,1.0,28.0,0.0,0.0
goalies,playoffs,8479394,2025,Carter Hart,VGK,G,all,18,67277.0,50.25,45.0,1179.0,40.48,61.0,156.35,107.0,616.0,530.0,18.85,2.0,339.64,332.0,236.28,297.0,48.16,660.0,138.0,46.0,19.48,16.69,14.07,19.0,17.0,9.0,335.0,2.0,1.0
goalies,playoffs,8479394,2025,Carter Hart,VGK,G,5on5,18,53734.0,37.09,35.0,917.0,29.82,51.0,127.85,84.0,483.18,412.0,15.19,0.0,258.46,248.0,191.16,241.0,35.79,525.0,100.0,36.0,14.95,12.23,9.91,16.0,12.0,7.0,256.0,2.0,1.0
goalies,playoffs,8479394,2025,Carter Hart,VGK,G,4on5,18,5613.0,7.15,7.0,156.0,6.94,8.0,18.18,18.0,78.88,68.0,0.4,0.0,48.93,46.0,25.18,30.0,6.69,82.0,21.0,6.0,2.33,2.51,2.31,3.0,3.0,1.0,47.0,0.0,0.0
goalies,playoffs,8479394,2025,Carter Hart,VGK,G,5on4,18,5292.0,0.59,1.0,16.0,0.42,0.0,1.12,1.0,8.93,11.0,2.84,2.0,2.89,2.0,6.74,8.0,0.57,10.0,2.0,0.0,0.26,0.34,0.0,0.0,1.0,0.0,4.0,0.0,0.0
