team,game_type,playerId,headshot,firstName,lastName,positionCode,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,powerPlayGoals,shorthandedGoals,gameWinningGoals,overtimeGoals,shots,shootingPctg,avgTimeOnIcePerGame,avgShiftsPerGame,faceoffWinPctg
CAR,2,8482093,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482093.png,{'default': 'Seth'},{'default': 'Jarvis'},R,71,32,34,66,6,23,5,4,7,2,224,0.142857,1132.7746,21.7042,0.405063
CAR,2,8482100,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482100.png,{'default': 'Alexander'},{'default': 'Nikishin'},D,81,11,22,33,18,33,4,1,1,1,122,0.090164,1091.0617,22.4815,0.0
CAR,2,8482187,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482187.png,{'default': 'Ronan'},{'default': 'Seeley'},D,1,0,0,0,0,0,0,0,0,0,0,0.0,912.0,19.0,0.0
CAR,2,8482702,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482702.png,{'default': 'Logan'},{'default': 'Stankoven'},C,81,21,23,44,12,25,4,0,3,0,166,0.126506,927.0123,18.284,0.44312
CAR,2,8482785,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482785.png,{'default': 'Justin'},{'default': 'Robidas'},C,2,0,1,1,0,0,0,0,0,0,2,0.0,641.0,14.5,0.5
CAR,2,8482809,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482809.png,{'default': 'Jackson'},{'default': 'Blake'},R,81,22,31,53,4,40,3,0,3,1,174,0.126437,989.9506,18.9259,0.0
CAR,2,8482911,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482911.png,{'default': 'Joel'},{'default': 'Nystrom'},D,38,1,9,10,6,6,0,0,0,0,43,0.023256,911.1579,21.8421,0.0
CAR,2,8484203,https://assets.nhle.com/mugs/nhl/20252026/CAR/8484203.png,{'default': 'Bradly'},{'default': 'Nadeau'},L,12,3,0,3,1,2,1,0,0,0,12,0.25,777.6667,16.3333,0.0
CAR,2,8484392,https://assets.nhle.com/mugs/nhl/20252026/CAR/8484392.png,{'default': 'Felix'},{'default': 'Unger Sorum'},R,1,0,1,1,1,0,0,0,0,0,0,0.0,875.0,17.0,0.0
CAR,2,8484428,https://assets.nhle.com/mugs/nhl/20252026/CAR/8484428.png,{'default': 'Charles Alexis'},{'default': 'Legault'},D,12,1,1,2,5,15,0,0,0,0,12,0.083333,857.6667,20.4167,0.0
CAR,3,8473533,https://assets.nhle.com/mugs/nhl/20252026/CAR/8473533.png,{'default': 'Jordan'},{'default': 'Staal'},C,13,2,3,5,4,11,1,0,0,0,18,0.111111,1069.0769,28.0769,0.520548
CAR,3,8475235,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475235.png,{'default': 'Nicolas'},{'default': 'Deslauriers'},L,1,0,0,0,0,4,0,0,0,0,1,0.0,189.0,6.0,0.0
CAR,3,8475791,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475791.png,{'default': 'Taylor'},{'default': 'Hall'},L,13,5,11,16,11,12,0,0,1,1,37,0.135135,982.3077,21.7692,0.3
CAR,3,8476422,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476422.png,{'default': 'Mike'},{'default': 'Reilly'},D,2,0,2,2,2,2,0,0,0,0,2,0.0,774.5,18.5,0.0
