event_id,market_provider,market_details,home_odds,away_odds,home_decimal_odds,away_decimal_odds,home_raw_implied_prob,away_raw_implied_prob,market_home_no_vig_prob,market_away_no_vig_prob,market_spread,market_over_under,home_spread_odds,away_spread_odds
401809837,DraftKings,NY -3.5,150,-180,2.5,1.5555555555555556,0.4,0.6428571428571429,0.3835616438356164,0.6164383561643836,3.5,225.5,-105,-115
401809838,DraftKings,OKC -10.5,-575,425,1.1739130434782608,5.25,0.8518518518518519,0.19047619047619047,0.817258883248731,0.18274111675126903,-10.5,233.5,-115,-105
401809839,DraftKings,NY -2.5,-135,114,1.7407407407407407,2.1399999999999997,0.574468085106383,0.4672897196261682,0.551441114716549,0.448558885283451,-2.5,233.5,-105,-115
401810139,DraftKings,TOR -1.5,-122,-105,1.819672131147541,1.9523809523809523,0.5495495495495496,0.5121951219512195,0.517591059602649,0.48240894039735105,-1.5,234.5,-105,-108
401810141,DraftKings,MIA -7.5,-270,220,1.3703703703703702,3.2,0.7297297297297297,0.3125,0.7001620745542949,0.2998379254457051,-7.5,240.5,-112,-112
401810142,DraftKings,DEN -8.5,220,-270,3.2,1.3703703703703702,0.3125,0.7297297297297297,0.299837925445705,0.700162074554295,8.5,235.5,-118,-102
401810143,DraftKings,MIL -1.5,-115,-105,1.8695652173913042,1.9523809523809523,0.5348837209302325,0.5121951219512195,0.5108342361863488,0.4891657638136512,-1.5,,-102,-110
401810145,DraftKings,HOU -6.5,190,-230,2.9,1.434782608695652,0.3448275862068966,0.696969696969697,0.33099297893681046,0.6690070210631895,6.5,224.5,-110,-110
401810148,DraftKings,MIN -5.5,-238,195,1.4201680672268908,2.95,0.7041420118343196,0.3389830508474576,0.6750312469954812,0.3249687530045188,-5.5,229.5,-118,-102
401810149,DraftKings,TOR -6.5,230,-285,3.3,1.3508771929824561,0.30303030303030304,0.7402597402597403,0.2904564315352697,0.7095435684647303,6.5,234.5,-105,-115
401810150,DraftKings,CHI -2.5,120,-142,2.2,1.704225352112676,0.45454545454545453,0.5867768595041323,0.43650793650793646,0.5634920634920635,2.5,239.5,-110,-110
