game_date,event_id,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,actual_winner,result,skip_reason,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after
2026-04-22,401869397,Houston Rockets at Los Angeles Lakers,94-101,home,home,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,WIN,,56.03,33.1,34.48,21.54,22.93,190,2.9,32.88,8.22,153.37,291.4,2156.96
2026-04-22,401869411,Orlando Magic at Detroit Pistons,83-98,away,away,Orlando Magic,Orlando Magic,Detroit Pistons,LOSS,,28.06,25.59,26.67,1.39,2.47,275,3.75,1.9,0.48,10.25,-10.25,2146.71
2026-04-23,401869368,Phoenix Suns at Oklahoma City Thunder,107-120,away,away,Phoenix Suns,Phoenix Suns,Oklahoma City Thunder,LOSS,,21.81,8.76,9.09,12.72,13.06,1000,11.0,13.99,3.5,75.1,-75.1,2071.62
2026-04-23,401869389,New York Knicks at Atlanta Hawks,108-109,home,home,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,WIN,,56.39,49.57,51.92,4.47,6.82,-108,1.926,9.29,2.32,48.11,44.55,2116.16
2026-04-24,401869375,Cleveland Cavaliers at Toronto Raptors,104-126,home,home,Toronto Raptors,Toronto Raptors,Toronto Raptors,WIN,,55.98,42.79,44.64,11.34,13.18,124,2.24,20.48,5.12,108.34,134.34,2250.5
2026-04-24,401869398,Denver Nuggets at Minnesota Timberwolves,96-113,away,away,Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,LOSS,,57.97,49.57,51.92,6.04,8.4,-108,1.926,12.57,3.14,70.74,-70.74,2179.76
2026-04-24,401869404,Boston Celtics at Philadelphia 76ers,108-100,home,home,Philadelphia 76ers,Philadelphia 76ers,Boston Celtics,LOSS,,34.74,25.22,26.32,8.43,9.52,280,3.8,11.44,2.86,62.31,-62.31,2117.44
2026-04-25,401869370,Oklahoma City Thunder at Phoenix Suns,121-109,home,home,Phoenix Suns,Phoenix Suns,Oklahoma City Thunder,LOSS,,27.98,24.28,25.32,2.66,3.7,295,3.95,3.57,0.89,18.89,-18.89,2098.55
2026-04-25,401869382,San Antonio Spurs at Portland Trail Blazers,120-108,away,away,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,WIN,,62.8,52.61,54.95,7.84,10.19,-122,1.82,17.41,4.35,91.36,74.89,2173.44
2026-04-25,401869391,New York Knicks at Atlanta Hawks,114-98,home,home,Atlanta Hawks,Atlanta Hawks,New York Knicks,LOSS,,54.76,45.73,47.62,7.14,9.04,110,2.1,13.64,3.41,74.11,-74.11,2099.33
2026-04-25,401869400,Los Angeles Lakers at Houston Rockets,112-108,away,away,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,WIN,,44.25,31.46,32.79,11.47,12.79,205,3.05,17.06,4.26,89.53,183.53,2282.86
2026-04-25,401869414,Detroit Pistons at Orlando Magic,105-113,away,away,Detroit Pistons,Detroit Pistons,Orlando Magic,LOSS,,60.54,53.25,55.56,4.98,7.29,-125,1.8,11.21,2.8,63.95,-63.95,2218.91
2026-04-26,401869377,Cleveland Cavaliers at Toronto Raptors,89-93,home,home,Toronto Raptors,Toronto Raptors,Toronto Raptors,WIN,,61.41,37.75,39.37,22.04,23.66,154,2.54,36.36,9.09,201.69,310.6,2529.51
2026-04-26,401869385,San Antonio Spurs at Portland Trail Blazers,114-93,home,home,Portland Trail Blazers,Portland Trail Blazers,San Antonio Spurs,LOSS,,35.11,33.64,35.09,0.02,1.48,185,2.85,0.04,0.01,0.24,-0.24,2529.27
2026-04-26,401869399,Denver Nuggets at Minnesota Timberwolves,96-112,home,home,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,WIN,,51.12,48.26,50.5,0.62,2.85,-102,1.98,1.25,0.31,7.92,7.77,2537.04
2026-04-26,401869406,Boston Celtics at Philadelphia 76ers,128-96,skip,home,Philadelphia 76ers,,Boston Celtics,SKIP,no_positive_kelly,33.5,33.1,34.48,-0.98,0.4,190,2.9,0.0,0.0,0.0,0.0,2537.04
2026-04-27,401869405,Los Angeles Lakers at Houston Rockets,96-115,away,away,Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,LOSS,,43.86,40.66,42.37,1.49,3.2,136,2.36,2.58,0.65,16.37,-16.37,2520.67
2026-04-28,401869373,Oklahoma City Thunder at Phoenix Suns,131-122,home,home,Phoenix Suns,Phoenix Suns,Oklahoma City Thunder,LOSS,,26.92,19.18,20.0,6.92,7.74,400,5.0,8.65,2.16,54.54,-54.54,2466.13
2026-04-28,401869401,Minnesota Timberwolves at Denver Nuggets,113-125,away,away,Minnesota Timberwolves,Minnesota Timberwolves,Denver Nuggets,LOSS,,41.38,19.57,20.41,20.97,21.8,390,4.9,26.34,6.59,162.41,-162.41,2303.71
2026-04-28,401869408,Philadelphia 76ers at Boston Celtics,113-97,away,away,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,WIN,,28.39,21.81,22.73,5.66,6.58,340,4.4,7.32,1.83,42.18,143.42,2447.13
2026-04-28,401869415,Detroit Pistons at Orlando Magic,88-94,home,home,Orlando Magic,Orlando Magic,Orlando Magic,WIN,,45.38,40.04,41.67,3.71,5.34,140,2.4,6.36,1.59,38.9,54.45,2501.58
2026-04-29,401869380,Toronto Raptors at Cleveland Cavaliers,120-125,away,away,Toronto Raptors,Toronto Raptors,Cleveland Cavaliers,LOSS,,48.37,23.41,24.39,23.98,24.96,310,4.1,31.72,7.93,198.36,-198.36,2303.23
2026-04-29,401869386,Portland Trail Blazers at San Antonio Spurs,95-114,away,away,Portland Trail Blazers,Portland Trail Blazers,San Antonio Spurs,LOSS,,23.77,18.27,19.05,4.72,5.49,425,5.25,5.83,1.46,33.56,-33.56,2269.66
2026-04-29,401869392,Atlanta Hawks at New York Knicks,97-126,away,away,Atlanta Hawks,Atlanta Hawks,New York Knicks,LOSS,,36.6,31.46,32.79,3.81,5.14,205,3.05,5.67,1.42,32.2,-32.2,2237.47
2026-04-29,401869416,Orlando Magic at Detroit Pistons,109-116,away,away,Orlando Magic,Orlando Magic,Detroit Pistons,LOSS,,30.64,21.33,22.22,8.42,9.31,350,4.5,10.82,2.71,60.54,-60.54,2176.93
2026-04-30,401869393,New York Knicks at Atlanta Hawks,140-89,away,away,New York Knicks,New York Knicks,New York Knicks,WIN,,61.37,56.35,58.68,2.69,5.02,-142,1.704,6.52,1.63,35.48,24.99,2201.92
2026-04-30,401869407,Houston Rockets at Los Angeles Lakers,99-93,away,away,Houston Rockets,Houston Rockets,Houston Rockets,WIN,,46.73,41.7,43.48,3.26,5.03,130,2.3,5.76,1.44,31.7,41.21,2243.13
2026-05-01,401869381,Cleveland Cavaliers at Toronto Raptors,110-112,home,home,Toronto Raptors,Toronto Raptors,Toronto Raptors,WIN,,60.26,36.31,37.88,22.38,23.95,164,2.64,36.02,9.01,202.01,331.3,2574.43
2026-05-01,401869402,Denver Nuggets at Minnesota Timberwolves,98-110,skip,home,Minnesota Timberwolves,,Minnesota Timberwolves,SKIP,market_disagreement,53.44,27.42,28.57,24.87,26.02,250,3.5,34.82,0.0,0.0,0.0,2574.43
2026-05-01,401869410,Boston Celtics at Philadelphia 76ers,93-106,home,home,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,WIN,,35.05,33.1,34.48,0.57,1.96,190,2.9,0.87,0.22,5.61,10.67,2585.09
2026-05-01,401869417,Detroit Pistons at Orlando Magic,93-79,home,home,Orlando Magic,Orlando Magic,Detroit Pistons,LOSS,,49.23,40.66,42.37,6.86,8.57,136,2.36,11.9,2.97,76.88,-76.88,2508.21
2026-05-02,401869409,Los Angeles Lakers at Houston Rockets,98-78,skip,away,Los Angeles Lakers,,Los Angeles Lakers,SKIP,no_positive_kelly,36.44,36.91,38.46,-2.03,-0.47,160,2.6,0.0,0.0,0.0,0.0,2508.21
2026-05-02,401869412,Philadelphia 76ers at Boston Celtics,109-100,home,home,Boston Celtics,Boston Celtics,Philadelphia 76ers,LOSS,,64.92,59.34,61.83,3.09,5.59,-162,1.617,8.1,2.02,50.79,-50.79,2457.42
2026-05-03,401869384,Toronto Raptors at Cleveland Cavaliers,102-114,away,away,Toronto Raptors,Toronto Raptors,Cleveland Cavaliers,LOSS,,46.06,25.91,27.03,19.03,20.15,270,3.7,26.08,6.52,160.24,-160.24,2297.19
2026-05-03,401869418,Orlando Magic at Detroit Pistons,94-116,away,away,Orlando Magic,Orlando Magic,Detroit Pistons,LOSS,,28.92,26.65,27.78,1.15,2.28,260,3.6,1.59,0.4,9.11,-9.11,2288.07
2026-05-05,401871152,Minnesota Timberwolves at San Antonio Spurs,104-102,away,away,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota Timberwolves,WIN,,35.05,23.41,24.39,10.66,11.64,310,4.1,14.09,3.52,80.61,249.89,2537.97
2026-05-05,401871159,Philadelphia 76ers at New York Knicks,98-137,skip,away,Philadelphia 76ers,,New York Knicks,SKIP,no_positive_kelly,28.24,28.64,29.85,-1.61,-0.41,235,3.35,0.0,0.0,0.0,0.0,2537.97
2026-05-05,401871333,Cleveland Cavaliers at Detroit Pistons,101-111,home,home,Detroit Pistons,Detroit Pistons,Detroit Pistons,WIN,,67.16,59.34,61.83,5.33,7.82,-162,1.617,13.95,3.49,88.54,54.66,2592.62
2026-05-06,401871160,Philadelphia 76ers at New York Knicks,102-108,away,away,Philadelphia 76ers,Philadelphia 76ers,New York Knicks,LOSS,,26.36,21.33,22.22,4.13,5.03,350,4.5,5.32,1.33,34.46,-34.46,2558.17
2026-05-06,401871326,Los Angeles Lakers at Oklahoma City Thunder,90-108,away,away,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,LOSS,,27.17,13.7,14.29,12.89,13.47,600,7.0,15.03,3.76,96.14,-96.14,2462.02
2026-05-07,401871153,Minnesota Timberwolves at San Antonio Spurs,95-133,away,away,Minnesota Timberwolves,Minnesota Timberwolves,San Antonio Spurs,LOSS,,33.64,22.32,23.26,10.38,11.32,330,4.3,13.53,3.38,83.28,-83.28,2378.74
2026-05-07,401871334,Cleveland Cavaliers at Detroit Pistons,97-107,home,home,Detroit Pistons,Detroit Pistons,Detroit Pistons,WIN,,67.3,59.34,61.83,5.47,7.96,-162,1.617,14.33,3.58,85.2,52.59,2431.33
2026-05-08,401871161,New York Knicks at Philadelphia 76ers,108-94,skip,away,New York Knicks,,New York Knicks,SKIP,market_disagreement,70.13,41.7,43.48,26.65,28.43,130,2.3,47.15,0.0,0.0,0.0,2431.33
2026-05-08,401871327,Los Angeles Lakers at Oklahoma City Thunder,107-125,away,away,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,LOSS,,26.26,13.7,14.29,11.98,12.56,600,7.0,13.97,3.49,84.93,-84.93,2346.4
