game_id,play_id,period,period_type,time_in_period,time_remaining,event_type,team,x_coord,y_coord,shot_type,zone,details
2025020155,449,1,REG,14:02,05:58,giveaway,VGK,42.0,36.0,,O,"{""eventOwnerTeamId"": 54, ""playerId"": 8478403, ""xCoord"": 42, ""yCoord"": 36, ""zoneCode"": ""O""}"
2025020155,413,1,REG,14:16,05:44,blocked-shot,VGK,76.0,-20.0,,D,"{""blockingPlayerId"": 8480336, ""eventOwnerTeamId"": 54, ""reason"": ""blocked"", ""shootingPlayerId"": 8478403, ""xCoord"": 76, ""yCoord"": -20, ""zoneCode"": ""D""}"
2025020155,69,1,REG,14:17,05:43,stoppage,,,,,,"{""reason"": ""puck-in-netting"", ""secondaryReason"": ""player-equipment""}"
2025020155,414,1,REG,14:17,05:43,faceoff,VGK,69.0,-22.0,,O,"{""eventOwnerTeamId"": 54, ""losingPlayerId"": 8478427, ""winningPlayerId"": 8478403, ""xCoord"": 69, ""yCoord"": -22, ""zoneCode"": ""O""}"
2025020155,423,1,REG,15:37,04:23,shot-on-goal,VGK,74.0,21.0,snap,O,"{""awaySOG"": 3, ""eventOwnerTeamId"": 54, ""goalieInNetId"": 8475883, ""homeSOG"": 6, ""shootingPlayerId"": 8478403, ""shotType"": ""snap"", ""xCoord"": 74, ""yCoord"": 21, ""zoneCode"": ""O""}"
2025020155,70,1,REG,16:15,03:45,stoppage,,,,,,"{""reason"": ""offside"", ""secondaryReason"": ""tv-timeout""}"
2025020155,433,1,REG,16:15,03:45,faceoff,VGK,-20.0,-22.0,,N,"{""eventOwnerTeamId"": 54, ""losingPlayerId"": 8482702, ""winningPlayerId"": 8476448, ""xCoord"": -20, ""yCoord"": -22, ""zoneCode"": ""N""}"
2025020155,448,1,REG,17:30,02:30,shot-on-goal,VGK,61.0,-33.0,wrist,O,"{""awaySOG"": 4, ""eventOwnerTeamId"": 54, ""goalieInNetId"": 8475883, ""homeSOG"": 6, ""shootingPlayerId"": 8478434, ""shotType"": ""wrist"", ""xCoord"": 61, ""yCoord"": -33, ""zoneCode"": ""O""}"
2025020155,71,1,REG,17:31,02:29,stoppage,,,,,,"{""reason"": ""goalie-stopped-after-sog""}"
2025020155,450,1,REG,17:31,02:29,faceoff,CAR,69.0,-22.0,,D,"{""eventOwnerTeamId"": 12, ""losingPlayerId"": 8477964, ""winningPlayerId"": 8473533, ""xCoord"": 69, ""yCoord"": -22, ""zoneCode"": ""D""}"
2025020155,471,1,REG,17:34,02:26,giveaway,CAR,78.0,-39.0,,D,"{""eventOwnerTeamId"": 12, ""playerId"": 8480830, ""xCoord"": 78, ""yCoord"": -39, ""zoneCode"": ""D""}"
2025020155,467,1,REG,17:34,02:26,hit,VGK,76.0,-39.0,,O,"{""eventOwnerTeamId"": 54, ""hitteePlayerId"": 8480830, ""hittingPlayerId"": 8482125, ""xCoord"": 76, ""yCoord"": -39, ""zoneCode"": ""O""}"
2025020155,458,1,REG,17:41,02:19,penalty,CAR,29.0,-39.0,,D,"{""committedByPlayerId"": 8480830, ""descKey"": ""tripping"", ""drawnByPlayerId"": 8477447, ""duration"": 2, ""eventOwnerTeamId"": 12, ""typeCode"": ""MIN"", ""xCoord"": 29, ""yCoord"": -39, ""zoneCode"": ""D""}"
2025020155,463,1,REG,17:41,02:19,faceoff,VGK,69.0,22.0,,O,"{""eventOwnerTeamId"": 54, ""losingPlayerId"": 8473533, ""winningPlayerId"": 8478403, ""xCoord"": 69, ""yCoord"": 22, ""zoneCode"": ""O""}"
2025020155,464,1,REG,18:03,01:57,goal,VGK,52.0,-16.0,slap,O,"{""assist1PlayerId"": 8477447, ""assist1PlayerTotal"": 4, ""assist2PlayerId"": 8478403, ""assist2PlayerTotal"": 11, ""awayScore"": 2, ""discreteClip"": 6384211653112, ""discreteClipFr"": 6384212136112, ""eventOwnerTeamId"": 54, ""goalieInNetId"": 8475883, ""highlightClip"": 6384212533112, ""highlightClipFr"": 6384212429112, ""highlightClipSharingUrl"": ""https://nhl.com/video/vgk-car-dorofeyev-scores-ppg-against-frederik-andersen-6384212533112"", ""highlightClipSharingUrlFr"": ""https://nhl.com/fr/video/vgk-car-dorofeyev-marque-un-but-en-a-n-contre-frederik-andersen-6384212429112"", ""homeScore"": 1, ""scoringPlayerId"": 8481604, ""scoringPlayerTotal"": 9, ""shotType"": ""slap"", ""xCoord"": 52, ""yCoord"": -16, ""zoneCode"": ""O""}"
2025020155,465,1,REG,18:03,01:57,faceoff,VGK,0.0,0.0,,N,"{""eventOwnerTeamId"": 54, ""losingPlayerId"": 8480829, ""winningPlayerId"": 8479353, ""xCoord"": 0, ""yCoord"": 0, ""zoneCode"": ""N""}"
2025020155,484,1,REG,18:30,01:30,hit,CAR,90.0,27.0,,D,"{""eventOwnerTeamId"": 12, ""hitteePlayerId"": 8478434, ""hittingPlayerId"": 8484203, ""xCoord"": 90, ""yCoord"": 27, ""zoneCode"": ""D""}"
2025020155,489,1,REG,18:50,01:10,hit,VGK,90.0,27.0,,O,"{""eventOwnerTeamId"": 54, ""hitteePlayerId"": 8478970, ""hittingPlayerId"": 8481133, ""xCoord"": 90, ""yCoord"": 27, ""zoneCode"": ""O""}"
2025020155,72,1,REG,19:26,00:34,stoppage,,,,,,"{""reason"": ""icing""}"
2025020155,482,1,REG,19:26,00:34,faceoff,CAR,-69.0,-22.0,,O,"{""eventOwnerTeamId"": 12, ""losingPlayerId"": 8476448, ""winningPlayerId"": 8473533, ""xCoord"": -69, ""yCoord"": -22, ""zoneCode"": ""O""}"
2025020155,486,1,REG,19:28,00:32,shot-on-goal,CAR,-46.0,-23.0,wrist,O,"{""awaySOG"": 4, ""eventOwnerTeamId"": 12, ""goalieInNetId"": 8481033, ""homeSOG"": 7, ""shootingPlayerId"": 8480336, ""shotType"": ""wrist"", ""xCoord"": -46, ""yCoord"": -23, ""zoneCode"": ""O""}"
2025020155,492,1,REG,19:35,00:25,giveaway,VGK,-81.0,-38.0,,D,"{""eventOwnerTeamId"": 54, ""playerId"": 8481527, ""xCoord"": -81, ""yCoord"": -38, ""zoneCode"": ""D""}"
2025020155,487,1,REG,19:36,00:24,missed-shot,CAR,-60.0,-18.0,snap,O,"{""eventOwnerTeamId"": 12, ""goalieInNetId"": 8481033, ""reason"": ""wide-left"", ""shootingPlayerId"": 8480336, ""shotType"": ""snap"", ""xCoord"": -60, ""yCoord"": -18, ""zoneCode"": ""O""}"
2025020155,493,1,REG,19:44,00:16,giveaway,CAR,-90.0,11.0,,O,"{""eventOwnerTeamId"": 12, ""playerId"": 8480830, ""xCoord"": -90, ""yCoord"": 11, ""zoneCode"": ""O""}"
2025020155,73,1,REG,20:00,00:00,period-end,,,,,,{}
2025020155,497,2,REG,00:00,20:00,period-start,,,,,,{}
2025020155,496,2,REG,00:00,20:00,faceoff,VGK,0.0,0.0,,N,"{""eventOwnerTeamId"": 54, ""losingPlayerId"": 8473533, ""winningPlayerId"": 8478403, ""xCoord"": 0, ""yCoord"": 0, ""zoneCode"": ""N""}"
2025020155,554,2,REG,00:04,19:56,takeaway,CAR,38.0,12.0,,O,"{""eventOwnerTeamId"": 12, ""playerId"": 8480830, ""xCoord"": 38, ""yCoord"": 12, ""zoneCode"": ""O""}"
2025020155,498,2,REG,00:06,19:54,shot-on-goal,CAR,71.0,0.0,wrist,O,"{""awaySOG"": 4, ""eventOwnerTeamId"": 12, ""goalieInNetId"": 8481033, ""homeSOG"": 8, ""shootingPlayerId"": 8480830, ""shotType"": ""wrist"", ""xCoord"": 71, ""yCoord"": 0, ""zoneCode"": ""O""}"
2025020155,78,2,REG,00:23,19:37,stoppage,,,,,,"{""reason"": ""icing""}"
2025020155,551,2,REG,00:23,19:37,faceoff,VGK,69.0,22.0,,D,"{""eventOwnerTeamId"": 54, ""losingPlayerId"": 8478427, ""winningPlayerId"": 8478403, ""xCoord"": 69, ""yCoord"": 22, ""zoneCode"": ""D""}"
2025020155,79,2,REG,00:29,19:31,stoppage,,,,,,"{""reason"": ""icing""}"
2025020155,555,2,REG,00:29,19:31,faceoff,CAR,69.0,22.0,,O,"{""eventOwnerTeamId"": 12, ""losingPlayerId"": 8478403, ""winningPlayerId"": 8478427, ""xCoord"": 69, ""yCoord"": 22, ""zoneCode"": ""O""}"
2025020155,557,2,REG,00:31,19:29,blocked-shot,CAR,41.0,2.0,,D,"{""blockingPlayerId"": 8477964, ""eventOwnerTeamId"": 12, ""reason"": ""blocked"", ""shootingPlayerId"": 8482100, ""xCoord"": 41, ""yCoord"": 2, ""zoneCode"": ""D""}"
2025020155,558,2,REG,00:36,19:24,missed-shot,CAR,72.0,17.0,wrist,O,"{""eventOwnerTeamId"": 12, ""goalieInNetId"": 8481033, ""reason"": ""wide-left"", ""shootingPlayerId"": 8477940, ""shotType"": ""wrist"", ""xCoord"": 72, ""yCoord"": 17, ""zoneCode"": ""O""}"
2025020155,560,2,REG,00:52,19:08,shot-on-goal,VGK,0.0,30.0,wrist,N,"{""awaySOG"": 5, ""eventOwnerTeamId"": 54, ""goalieInNetId"": 8475883, ""homeSOG"": 8, ""shootingPlayerId"": 8478403, ""shotType"": ""wrist"", ""xCoord"": 0, ""yCoord"": 30, ""zoneCode"": ""N""}"
2025020155,575,2,REG,02:15,17:45,blocked-shot,VGK,-60.0,33.0,,D,"{""blockingPlayerId"": 8475791, ""eventOwnerTeamId"": 54, ""reason"": ""blocked"", ""shootingPlayerId"": 8480727, ""xCoord"": -60, ""yCoord"": 33, ""zoneCode"": ""D""}"
2025020155,585,2,REG,02:15,17:45,hit,VGK,-68.0,39.0,,O,"{""eventOwnerTeamId"": 54, ""hitteePlayerId"": 8482809, ""hittingPlayerId"": 8475191, ""xCoord"": -68, ""yCoord"": 39, ""zoneCode"": ""O""}"
2025020155,202,2,REG,02:19,17:41,blocked-shot,VGK,-75.0,-10.0,,D,"{""blockingPlayerId"": 8481562, ""eventOwnerTeamId"": 54, ""reason"": ""blocked"", ""shootingPlayerId"": 8476448, ""xCoord"": -75, ""yCoord"": -10, ""zoneCode"": ""D""}"
2025020155,579,2,REG,02:41,17:19,shot-on-goal,CAR,31.0,37.0,slap,O,"{""awaySOG"": 5, ""eventOwnerTeamId"": 12, ""goalieInNetId"": 8481033, ""homeSOG"": 9, ""shootingPlayerId"": 8482100, ""shotType"": ""slap"", ""xCoord"": 31, ""yCoord"": 37, ""zoneCode"": ""O""}"
2025020155,80,2,REG,02:42,17:18,stoppage,,,,,,"{""reason"": ""goalie-stopped-after-sog""}"
2025020155,580,2,REG,02:42,17:18,faceoff,CAR,69.0,22.0,,O,"{""eventOwnerTeamId"": 12, ""losingPlayerId"": 8479353, ""winningPlayerId"": 8476873, ""xCoord"": 69, ""yCoord"": 22, ""zoneCode"": ""O""}"
2025020155,584,2,REG,02:44,17:16,blocked-shot,CAR,57.0,10.0,,D,"{""blockingPlayerId"": 8478434, ""eventOwnerTeamId"": 12, ""reason"": ""blocked"", ""shootingPlayerId"": 8481562, ""xCoord"": 57, ""yCoord"": 10, ""zoneCode"": ""D""}"
2025020155,586,2,REG,03:06,16:54,missed-shot,VGK,-84.0,-5.0,backhand,O,"{""eventOwnerTeamId"": 54, ""goalieInNetId"": 8475883, ""reason"": ""hit-left-post"", ""shootingPlayerId"": 8478434, ""shotType"": ""backhand"", ""xCoord"": -84, ""yCoord"": -5, ""zoneCode"": ""O""}"
