source_report,game_type,assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
nhl_skater_summary,2,0,0,0,,0,3,0,Coghlan,0,2,8479639,1,0,0.0,D,0,0,20252026,0,0,0.0,R,2,Dylan Coghlan,VGK,903.3333
nhl_skater_summary,2,5,0,4,0.48717,0,10,0,Laczynski,0,4,8479550,0,5,0.5,C,0,1,20252026,0,0,0.0,R,12,Tanner Laczynski,VGK,646.2
nhl_skater_summary,2,10,11,19,0.51351,3,68,11,Jankowski,0,16,8476873,7,21,0.30882,L,0,2,20252026,0,0,0.1746,L,63,Mark Jankowski,CAR,669.0735
nhl_skater_summary,2,5,6,9,0.56514,2,66,6,Sissons,0,28,8476925,-11,11,0.16666,C,0,2,20252026,0,0,0.08108,R,74,Colton Sissons,VGK,749.8333
nhl_skater_summary,2,6,12,17,0.07692,3,67,12,Robinson,0,8,8480762,7,18,0.26865,L,0,0,20252026,0,1,0.14285,L,84,Eric Robinson,CAR,685.6716
nhl_skater_summary,2,1,2,3,0.56097,0,17,2,Philp,0,4,8481491,-7,3,0.17647,C,0,0,20252026,0,0,0.14285,R,14,Noah Philp,"EDM,CAR",596.5882
nhl_skater_summary,2,15,2,17,,0,78,2,Whitecloud,0,30,8480727,-6,17,0.21794,D,0,0,20252026,0,0,0.02985,R,67,Zach Whitecloud,"VGK,CGY",1219.0
nhl_skater_summary,2,6,3,9,0.29032,0,49,3,Saad,0,14,8476438,-7,9,0.18367,L,0,0,20252026,0,0,0.03846,L,78,Brandon Saad,VGK,803.102
nhl_skater_summary,2,34,11,33,0.57831,4,82,24,Hertl,2,39,8476881,-17,58,0.70731,C,13,25,20252026,0,0,0.11881,L,202,Tomas Hertl,VGK,1022.0365
nhl_skater_summary,2,9,1,10,,0,38,1,Nystrom,0,6,8482911,6,10,0.26315,D,0,0,20252026,0,0,0.02325,R,43,Joel Nystrom,CAR,911.1578
nhl_skater_summary,2,22,9,28,,1,81,9,Walker,1,59,8480336,6,31,0.38271,D,0,1,20252026,0,2,0.05027,R,179,Sean Walker,CAR,1308.7283
nhl_skater_summary,2,0,0,0,,0,1,0,Seeley,0,0,8482187,0,0,0.0,D,0,0,20252026,0,0,,L,0,Ronan Seeley,CAR,912.0
nhl_skater_summary,2,0,0,0,0.51162,0,4,0,Brind'Amour,0,2,8480291,-2,0,0.0,C,0,0,20252026,0,0,0.0,L,2,Skyler Brind'Amour,CAR,901.0
