game_date,away_team,home_team,away_score,home_score,bet_side,bet_team,offered_american_odds,decimal_odds,model_prob,market_prob,break_even_prob,model_edge_vs_break_even,model_edge_vs_market,market_home_no_vig_prob,raw_kelly_fraction,stake_fraction,stake,won,profit,bankroll_after,skip_reason
2026-03-30,CGY,COL,2,9,skip,,313.0,4.13,0.33137613511597697,0.23147097535514916,0.24213075060532688,0.08924538451065009,0.09990515976082781,0.7685290246448508,0.0,0.0,0.0,,0.0,1085.6273297145844,below_min_model_prob
2026-03-30,PIT,NYI,8,3,skip,,,,,,,,,0.5431991809088762,0.0,0.0,0.0,,0.0,1085.6273297145844,no_positive_kelly
2026-03-30,STL,SJS,4,5,away,STL,-111.0,1.900900900900901,0.6271759836924271,0.5010748065348236,0.5260663507109005,0.10110963298152664,0.1261011771576035,0.49892519346517633,0.21334132559102123,0.05,54.28136648572922,False,-54.28136648572922,1031.3459632288552,
2026-03-30,VAN,VGK,2,4,skip,,286.0,3.86,0.3019532469373941,0.24728405775886408,0.25906735751295334,0.04288588942444077,0.05466918917853003,0.7527159422411359,0.0,0.0,0.0,,0.0,1031.3459632288552,below_min_model_prob
2026-03-31,NYI,BUF,3,4,skip,,,,,,,,,0.6126299361814787,0.0,0.0,0.0,,0.0,1031.3459632288552,no_positive_kelly
2026-03-31,CAR,CBJ,5,2,skip,,109.0,2.09,0.49940893395357266,0.45761603835258224,0.4784688995215311,0.020940034432041565,0.04179289560099042,0.45761603835258224,0.0,0.0,0.0,,0.0,1031.3459632288552,below_min_edge
2026-03-31,WPG,CHI,4,3,skip,,130.0,2.3,0.45383308790369975,0.4157903251900987,0.43478260869565216,0.019050479208047588,0.038042762713601075,0.4157903251900987,0.0,0.0,0.0,,0.0,1031.3459632288552,below_min_edge
2026-03-31,SEA,EDM,0,3,skip,,156.0,2.56,0.4042964082803786,0.3739454479581802,0.390625,0.013671408280378605,0.030350960322198417,0.6260545520418198,0.0,0.0,0.0,,0.0,1031.3459632288552,below_min_edge
2026-03-31,OTT,FLA,3,6,skip,,153.0,2.5300000000000002,0.45556596013639744,0.3775769296549184,0.3952569169960474,0.060309043140350016,0.07798903048147904,0.3775769296549184,0.0,0.0,0.0,,0.0,1031.3459632288552,below_min_model_prob
2026-03-31,NJD,NYR,1,4,home,NYR,106.0,2.06,0.5175680902302602,0.4637162382037098,0.4854368932038835,0.03213119702637668,0.053851852026550406,0.4637162382037098,0.06244364705126034,0.03122182352563017,32.200501657802384,True,34.13253175727053,1065.4784949861257,
2026-03-31,MTL,TBL,4,1,skip,,145.0,2.45,0.4409278461103078,0.39176293319939726,0.40816326530612246,0.03276458080418532,0.04916491291091052,0.6082370668006027,0.0,0.0,0.0,,0.0,1065.4784949861257,below_min_model_prob
2026-04-01,VAN,COL,8,6,skip,,,,,,,,,0.7905793847671346,0.0,0.0,0.0,,0.0,1065.4784949861257,no_positive_kelly
2026-04-01,ANA,SJS,3,4,skip,,,,,,,,,0.49892519346517633,0.0,0.0,0.0,,0.0,1065.4784949861257,no_positive_kelly
2026-04-02,CBJ,CAR,1,5,skip,,,,,,,,,0.6364166980799397,0.0,0.0,0.0,,0.0,1065.4784949861257,no_positive_kelly
2026-04-02,WPG,DAL,0,3,skip,,130.0,2.3,0.45560347731536155,0.4157903251900986,0.43478260869565216,0.020820868619709387,0.03981315212526293,0.5842096748099014,0.0,0.0,0.0,,0.0,1065.4784949861257,below_min_edge
2026-04-02,CHI,EDM,1,3,skip,,188.0,2.88,0.40703935620918463,0.33194688849784026,0.3472222222222222,0.05981713398696242,0.07509246771134437,0.6680531115021597,0.0,0.0,0.0,,0.0,1065.4784949861257,below_min_model_prob
2026-04-02,BOS,FLA,1,2,skip,,140.0,2.4,0.44060763534202885,0.3998203054806828,0.4166666666666667,0.023940968675362162,0.04078732986134603,0.3998203054806828,0.0,0.0,0.0,,0.0,1065.4784949861257,below_min_edge
2026-04-02,VAN,MIN,2,5,skip,,352.0,4.52,0.22752581126736615,0.21199204747416944,0.22123893805309736,0.0062868732142687955,0.015533763793196709,0.7880079525258306,0.0,0.0,0.0,,0.0,1065.4784949861257,below_min_edge
2026-04-02,TOR,SJS,1,4,skip,,,,,,,,,0.554890592855807,0.0,0.0,0.0,,0.0,1065.4784949861257,no_positive_kelly
2026-04-02,PIT,TBL,3,6,skip,,,,,,,,,0.5949546441607244,0.0,0.0,0.0,,0.0,1065.4784949861257,no_positive_kelly
2026-04-02,CGY,VGK,3,6,skip,,,,,,,,,0.6815693430656934,0.0,0.0,0.0,,0.0,1065.4784949861257,no_positive_kelly
2026-04-03,STL,ANA,6,2,away,STL,118.0,2.1799999999999997,0.49886087531874124,0.43875552977010657,0.45871559633027525,0.04014527898846598,0.06010534554863467,0.5612444702298934,0.0741667018600473,0.03708335093002365,39.51151293796394,True,46.62358526679744,1112.102080252923,
2026-04-03,PHI,NYI,4,1,skip,,,,,,,,,0.5781011228489802,0.0,0.0,0.0,,0.0,1112.102080252923,no_positive_kelly
2026-04-04,CGY,ANA,5,3,skip,,127.0,2.27,0.4597417516186256,0.4220822725445531,0.44052863436123346,0.019213117257392165,0.03765947907407252,0.5779177274554469,0.0,0.0,0.0,,0.0,1112.102080252923,below_min_edge
2026-04-04,NYI,CAR,3,4,skip,,-262.0,1.381679389312977,0.7537421867597265,0.6910155516482016,0.7237569060773481,0.02998528068237838,0.06272663511152488,0.6910155516482016,0.0,0.0,0.0,,0.0,1112.102080252923,below_min_edge
2026-04-04,WPG,CBJ,2,1,skip,,,,,,,,,0.574468085106383,0.0,0.0,0.0,,0.0,1112.102080252923,no_positive_kelly
2026-04-04,COL,DAL,2,0,skip,,-121.0,1.8264462809917354,0.551493678404005,0.5239223627237672,0.5475113122171946,0.00398236618681036,0.02757131568023774,0.47607763727623276,0.0,0.0,0.0,,0.0,1112.102080252923,below_min_edge
2026-04-04,VGK,EDM,5,1,skip,,,,,,,,,0.5010748065348237,0.0,0.0,0.0,,0.0,1112.102080252923,no_positive_kelly
2026-04-04,TOR,LAK,6,7,skip,,169.0,2.69,0.40891707674441735,0.35612119796835773,0.37174721189591076,0.037169864848506595,0.052795878776059624,0.6438788020316423,0.0,0.0,0.0,,0.0,1112.102080252923,below_min_model_prob
2026-04-04,MTL,NJD,4,3,skip,,,,,,,,,0.4675324675324675,0.0,0.0,0.0,,0.0,1112.102080252923,no_positive_kelly
2026-04-04,DET,NYR,1,4,skip,,121.0,2.21,0.47161042785263707,0.4325959272676116,0.45248868778280543,0.01912174006983164,0.03901450058502548,0.4325959272676116,0.0,0.0,0.0,,0.0,1112.102080252923,below_min_edge
2026-04-04,MIN,OTT,4,1,skip,,,,,,,,,0.5443833464257659,0.0,0.0,0.0,,0.0,1112.102080252923,no_positive_kelly
2026-04-04,FLA,PIT,4,9,skip,,,,,,,,,0.6793564888608815,0.0,0.0,0.0,,0.0,1112.102080252923,no_positive_kelly
2026-04-04,CHI,SEA,4,2,skip,,-174.0,1.5747126436781609,0.6410337796220117,0.6077645442052222,0.635036496350365,0.005997283271646725,0.0332692354167895,0.6077645442052222,0.0,0.0,0.0,,0.0,1112.102080252923,below_min_edge
2026-04-04,NSH,SJS,6,3,skip,,,,,,,,,0.5205006473888649,0.0,0.0,0.0,,0.0,1112.102080252923,no_positive_kelly
2026-04-04,BOS,TBL,1,3,skip,,147.0,2.4699999999999998,0.4327561621848204,0.38785197216427003,0.4048582995951417,0.02789786258967869,0.04490419002055035,0.61214802783573,0.0,0.0,0.0,,0.0,1112.102080252923,below_min_edge
2026-04-04,UTA,VAN,7,4,skip,,,,,,,,,0.330702367868918,0.0,0.0,0.0,,0.0,1112.102080252923,no_positive_kelly
2026-04-04,BUF,WSH,2,6,skip,,,,,,,,,0.4891657638136511,0.0,0.0,0.0,,0.0,1112.102080252923,no_positive_kelly
2026-04-05,STL,COL,3,2,away,STL,161.0,2.6100000000000003,0.4887461620232697,0.3677531911689028,0.3831417624521073,0.10560439957116241,0.12099297085436689,0.6322468088310972,0.17119719433585967,0.05,55.60510401264616,True,89.52421746036033,1201.6262977132835,
2026-04-05,MIN,DET,5,4,home,DET,113.0,2.13,0.5274885433185125,0.44971773036073104,0.4694835680751174,0.058004975243395096,0.07777081295778143,0.44971773036073104,0.10933681174197482,0.05,60.08131488566418,False,-60.08131488566418,1141.5449828276194,
2026-04-05,NJD,MTL,3,0,skip,,,,,,,,,0.5680836553762219,0.0,0.0,0.0,,0.0,1141.5449828276194,no_positive_kelly
2026-04-05,CAR,OTT,3,6,skip,,,,,,,,,0.4729987697789844,0.0,0.0,0.0,,0.0,1141.5449828276194,no_positive_kelly
2026-04-05,BOS,PHI,1,2,away,BOS,134.0,2.34,0.4823362546572604,0.4104205622286311,0.42735042735042733,0.054985827306833046,0.07191569242862927,0.5895794377713689,0.0960200267895442,0.0480100133947721,54.805589916288895,False,-54.805589916288895,1086.7393929113305,
2026-04-05,FLA,PIT,2,5,skip,,-244.0,1.4098360655737705,0.7219249579811753,0.6773709483793517,0.7093023255813954,0.012622632399779898,0.04455400960182354,0.6773709483793517,0.0,0.0,0.0,,0.0,1086.7393929113305,below_min_edge
2026-04-06,TBL,BUF,2,4,skip,,-119.0,1.8403361344537816,0.5569626733710762,0.5183284457478006,0.54337899543379,0.01358367793728621,0.03863422762327562,0.48167155425219943,0.0,0.0,0.0,,0.0,1086.7393929113305,below_min_edge
2026-04-06,CHI,SJS,2,3,away,CHI,135.0,2.35,0.4880249123064262,0.4082271056541801,0.425531914893617,0.06249299741280917,0.07979780665224612,0.5917728943458199,0.10878410660748263,0.05,54.336969645566526,False,-54.336969645566526,1032.402423265764,
