game_date,home_team,away_team,home_odds,away_odds,home_score,away_score,home_win,season,source_query,source,market_home_raw_prob,market_away_raw_prob,market_home_no_vig_prob,home_decimal_odds,away_decimal_odds
2022-10-18,NYI,SJS,-203,168,5,2,1,20222023,New York Islanders lowest moneyline 2022-23,statmuse,0.66996699669967,0.373134328358209,0.6422837174159426,1.4926108374384237,2.6799999999999997
2022-10-18,OTT,BOS,-135,114,7,5,1,20222023,Boston Bruins highest moneyline 2022-23,statmuse,0.574468085106383,0.4672897196261682,0.551441114716549,1.7407407407407407,2.1399999999999997
2022-10-18,TBL,PHI,-308,243,2,3,0,20222023,Philadelphia Flyers highest moneyline 2022-23,statmuse,0.7549019607843137,0.2915451895043732,0.7213952090901641,1.3246753246753247,3.43
2022-10-19,COL,WPG,-235,191,3,4,0,20222023,Colorado Avalanche lowest moneyline 2022-23,statmuse,0.7014925373134329,0.3436426116838488,0.6711979192226529,1.425531914893617,2.91
2022-10-19,FLA,PHI,-358,283,4,3,1,20222023,Florida Panthers lowest moneyline 2022-23,statmuse,0.7816593886462883,0.26109660574412535,0.7496091059186284,1.2793296089385475,3.83
2022-10-19,SEA,STL,112,-134,3,4,0,20222023,St. Louis Blues lowest moneyline 2022-23,statmuse,0.4716981132075472,0.5726495726495726,0.45166769610870916,2.12,1.7462686567164178
2022-10-20,CBJ,NSH,121,-145,5,3,1,20222023,Columbus Blue Jackets lowest moneyline 2022-23,statmuse,0.45248868778280543,0.5918367346938775,0.43328322574940314,2.21,1.6896551724137931
2022-10-20,CGY,BUF,-289,234,3,6,0,20222023,Buffalo Sabres highest moneyline 2022-23,statmuse,0.7429305912596401,0.2994011976047904,0.7127582591230635,1.3460207612456747,3.34
2022-10-20,EDM,CAR,-115,-106,6,4,1,20222023,Carolina Hurricanes highest moneyline 2022-23,statmuse,0.5348837209302325,0.5145631067961165,0.5096815834767643,1.8695652173913042,1.9433962264150944
2022-10-20,MIN,VAN,-181,151,4,3,1,20222023,Minnesota Wild lowest moneyline 2022-23,statmuse,0.6441281138790036,0.398406374501992,0.6178482544777034,1.5524861878453038,2.51
2022-10-20,MTL,ARI,-178,148,6,2,1,20222023,Arizona Coyotes lowest moneyline 2022-23,statmuse,0.6402877697841727,0.4032258064516129,0.6135883464917158,1.5617977528089888,2.48
2022-10-20,NYI,NJD,-151,128,1,4,0,20222023,New Jersey Devils highest moneyline 2022-23,statmuse,0.601593625498008,0.43859649122807015,0.5783496841822336,1.6622516556291391,2.2800000000000002
2022-10-20,NYR,SJS,-289,233,2,3,0,20222023,New York Rangers lowest moneyline 2022-23,statmuse,0.7429305912596401,0.3003003003003003,0.7121439724131807,1.3460207612456747,3.33
2022-10-20,PIT,LAK,-194,160,6,1,1,20222023,Los Angeles Kings highest moneyline 2022-23,statmuse,0.6598639455782312,0.38461538461538464,0.6317635270541082,1.5154639175257731,2.6
2022-10-20,TOR,DAL,-187,154,3,2,1,20222023,Dallas Stars highest moneyline 2022-23,statmuse,0.6515679442508711,0.3937007874015748,0.623349694217696,1.53475935828877,2.54
2022-10-20,VGK,WPG,-230,187,5,2,1,20222023,Vegas Golden Knights lowest moneyline 2022-23,statmuse,0.696969696969697,0.34843205574912894,0.6667003332996667,1.434782608695652,2.87
2022-10-21,CHI,DET,-102,-119,4,3,1,20222023,Chicago Blackhawks lowest moneyline 2022-23,statmuse,0.504950495049505,0.54337899543379,0.48167155425219943,1.9803921568627452,1.8403361344537816
2022-10-21,COL,SEA,-241,196,2,3,0,20222023,Colorado Avalanche lowest moneyline 2022-23,statmuse,0.7067448680351907,0.33783783783783783,0.6765810539094805,1.4149377593360997,2.96
2022-10-21,FLA,TBL,-113,-107,2,3,0,20222023,Tampa Bay Lightning highest moneyline 2022-23,statmuse,0.5305164319248826,0.5169082125603864,0.5064960374171755,1.8849557522123894,1.9345794392523366
2022-10-22,BOS,MIN,-111,-109,4,3,1,20222023,Boston Bruins highest moneyline 2022-23,statmuse,0.5260663507109005,0.5215311004784688,0.5021645958699511,1.900900900900901,1.9174311926605505
2022-10-22,CBJ,PIT,143,-170,3,6,0,20222023,Columbus Blue Jackets lowest moneyline 2022-23,statmuse,0.411522633744856,0.6296296296296297,0.3952569169960474,2.4299999999999997,1.5882352941176472
2022-10-22,CGY,CAR,-147,124,3,2,1,20222023,Carolina Hurricanes highest moneyline 2022-23,statmuse,0.5951417004048583,0.44642857142857145,0.5713889081696397,1.6802721088435373,2.24
2022-10-22,MTL,DAL,148,-176,2,5,0,20222023,Montreal Canadiens lowest moneyline 2022-23,statmuse,0.4032258064516129,0.6376811594202898,0.3873792948573995,2.48,1.5681818181818183
2022-10-22,NJD,SJS,-190,159,2,1,1,20222023,New Jersey Devils lowest moneyline 2022-23,statmuse,0.6551724137931034,0.3861003861003861,0.6292034266717812,1.526315789473684,2.59
2022-10-22,NSH,PHI,-220,178,1,3,0,20222023,Nashville Predators lowest moneyline 2022-23,statmuse,0.6875,0.3597122302158273,0.65650493774152,1.4545454545454546,2.7800000000000002
2022-10-22,OTT,ARI,-263,213,6,2,1,20222023,Ottawa Senators lowest moneyline 2022-23,statmuse,0.7245179063360881,0.3194888178913738,0.6939781991080687,1.3802281368821292,3.13
2022-10-22,VAN,BUF,-166,138,1,5,0,20222023,Vancouver Canucks lowest moneyline 2022-23,statmuse,0.6240601503759399,0.42016806722689076,0.5976281236764084,1.6024096385542168,2.38
2022-10-22,VGK,COL,-130,109,2,3,0,20222023,Colorado Avalanche highest moneyline 2022-23,statmuse,0.5652173913043478,0.4784688995215311,0.5415587004185769,1.7692307692307692,2.09
2022-10-22,WPG,TOR,142,-170,1,4,0,20222023,Winnipeg Jets highest moneyline 2022-23,statmuse,0.4132231404958678,0.6296296296296297,0.3962430290578221,2.42,1.5882352941176472
2022-10-23,CHI,SEA,119,-143,5,4,1,20222023,Chicago Blackhawks lowest moneyline 2022-23,statmuse,0.45662100456621,0.588477366255144,0.43691677005232216,2.19,1.6993006993006992
2022-10-23,DET,ANA,-134,113,5,1,1,20222023,Anaheim Ducks lowest moneyline 2022-23,statmuse,0.5726495726495726,0.4694835680751174,0.5494975164606677,1.7462686567164178,2.13
2022-10-23,FLA,NYI,-200,165,3,2,1,20222023,New York Islanders highest moneyline 2022-23,statmuse,0.6666666666666666,0.37735849056603776,0.6385542168674698,1.5,2.65
2022-10-23,NYR,CBJ,-265,218,1,5,0,20222023,New York Rangers lowest moneyline 2022-23,statmuse,0.726027397260274,0.31446540880503143,0.697772625652066,1.3773584905660377,3.18
2022-10-23,PHI,SJS,-126,105,0,3,0,20222023,Philadelphia Flyers lowest moneyline 2022-23,statmuse,0.5575221238938053,0.4878048780487805,0.533347098905637,1.7936507936507935,2.05
2022-10-24,EDM,PIT,-127,106,6,3,1,20222023,Pittsburgh Penguins highest moneyline 2022-23,statmuse,0.5594713656387665,0.4854368932038835,0.5354263026482748,1.7874015748031495,2.06
2022-10-24,VGK,TOR,-108,-112,3,1,1,20222023,Toronto Maple Leafs highest moneyline 2022-23,statmuse,0.5192307692307693,0.5283018867924528,0.4956702459300312,1.925925925925926,1.8928571428571428
2022-10-25,BOS,DAL,-169,142,3,1,1,20222023,Dallas Stars highest moneyline 2022-23,statmuse,0.6282527881040892,0.4132231404958678,0.6032331337207587,1.5917159763313609,2.42
2022-10-25,CBJ,ARI,-231,189,3,6,0,20222023,Columbus Blue Jackets lowest moneyline 2022-23,statmuse,0.6978851963746223,0.3460207612456747,0.6685326310097238,1.432900432900433,2.8899999999999997
2022-10-25,CGY,PIT,-200,165,4,1,1,20222023,Pittsburgh Penguins highest moneyline 2022-23,statmuse,0.6666666666666666,0.37735849056603776,0.6385542168674698,1.5,2.65
2022-10-25,CHI,FLA,197,-241,4,2,1,20222023,Florida Panthers lowest moneyline 2022-23,statmuse,0.3367003367003367,0.7067448680351907,0.32268137816175707,2.9699999999999998,1.4149377593360997
2022-10-25,DET,NJD,-113,-107,2,6,0,20222023,Detroit Red Wings lowest moneyline 2022-23,statmuse,0.5305164319248826,0.5169082125603864,0.5064960374171755,1.8849557522123894,1.9345794392523366
2022-10-25,MTL,MIN,173,-208,1,3,0,20222023,Minnesota Wild lowest moneyline 2022-23,statmuse,0.3663003663003663,0.6753246753246753,0.35166240409207156,2.73,1.4807692307692308
2022-10-25,NYR,COL,-110,-111,2,3,0,20222023,Colorado Avalanche highest moneyline 2022-23,statmuse,0.5238095238095238,0.5260663507109005,0.49892519346517633,1.9090909090909092,1.900900900900901
2022-10-25,SEA,BUF,-138,116,5,1,1,20222023,Seattle Kraken lowest moneyline 2022-23,statmuse,0.5798319327731093,0.46296296296296297,0.55603641247575,1.7246376811594204,2.16
2022-10-26,ANA,TBL,125,-148,2,4,0,20222023,Anaheim Ducks lowest moneyline 2022-23,statmuse,0.4444444444444444,0.5967741935483871,0.4268502581755593,2.25,1.6756756756756757
2022-10-26,NYI,NYR,-151,127,3,0,1,20222023,New York Rangers highest moneyline 2022-23,statmuse,0.601593625498008,0.44052863436123346,0.5772773969718915,1.6622516556291391,2.27
2022-10-27,BOS,DET,-253,205,5,1,1,20222023,Boston Bruins lowest moneyline 2022-23,statmuse,0.71671388101983,0.32786885245901637,0.6861245720890944,1.3952569169960474,3.05
2022-10-27,BUF,MTL,-189,156,2,3,0,20222023,Buffalo Sabres lowest moneyline 2022-23,statmuse,0.6539792387543253,0.390625,0.6260545520418198,1.529100529100529,2.56
2022-10-27,CHI,EDM,177,-215,5,6,0,20222023,Edmonton Oilers lowest moneyline 2022-23,statmuse,0.36101083032490977,0.6825396825396826,0.3459447586623469,2.77,1.4651162790697674
2022-10-27,LAK,WPG,-143,121,4,6,0,20222023,Winnipeg Jets highest moneyline 2022-23,statmuse,0.588477366255144,0.45248868778280543,0.5653184981128025,1.6993006993006992,2.21
2022-10-27,NSH,STL,-173,146,6,2,1,20222023,Nashville Predators lowest moneyline 2022-23,statmuse,0.6336996336996337,0.4065040650406504,0.6092072489908099,1.5780346820809248,2.46
2022-10-27,PHI,FLA,178,-213,4,3,1,20222023,Florida Panthers lowest moneyline 2022-23,statmuse,0.3597122302158273,0.6805111821086262,0.3458028592261971,2.7800000000000002,1.4694835680751175
2022-10-27,SJS,TOR,184,-224,4,3,1,20222023,San Jose Sharks highest moneyline 2022-23,statmuse,0.352112676056338,0.691358024691358,0.33744375937343773,2.84,1.4464285714285714
2022-10-28,ARI,WPG,126,-151,2,3,0,20222023,Arizona Coyotes lowest moneyline 2022-23,statmuse,0.4424778761061947,0.601593625498008,0.4238003579508999,2.26,1.6622516556291391
2022-10-28,CAR,NYI,-192,159,2,6,0,20222023,New York Islanders highest moneyline 2022-23,statmuse,0.6575342465753424,0.3861003861003861,0.6300425704439488,1.5208333333333335,2.59
2022-10-28,CBJ,BOS,121,-142,0,4,0,20222023,Boston Bruins highest moneyline 2022-23,statmuse,0.45248868778280543,0.5867768595041323,0.43539275304954844,2.21,1.704225352112676
2022-10-28,NJD,COL,105,-126,1,0,1,20222023,New Jersey Devils highest moneyline 2022-23,statmuse,0.4878048780487805,0.5575221238938053,0.466652901094363,2.05,1.7936507936507935
2022-10-28,VAN,PIT,164,-199,5,1,1,20222023,Pittsburgh Penguins lowest moneyline 2022-23,statmuse,0.3787878787878788,0.6655518394648829,0.3627056140521132,2.6399999999999997,1.5025125628140703
2022-10-28,VGK,ANA,-296,237,4,0,1,20222023,Anaheim Ducks highest moneyline 2022-23,statmuse,0.7474747474747475,0.29673590504451036,0.7158275446351685,1.3378378378378377,3.37
2022-10-29,BUF,CHI,-187,155,4,3,1,20222023,Buffalo Sabres lowest moneyline 2022-23,statmuse,0.6515679442508711,0.39215686274509803,0.6242717811088565,1.53475935828877,2.55
2022-10-29,CGY,EDM,-157,133,2,3,0,20222023,Edmonton Oilers highest moneyline 2022-23,statmuse,0.6108949416342413,0.4291845493562232,0.5873540887268991,1.6369426751592355,2.33
2022-10-29,FLA,OTT,-201,167,5,3,1,20222023,Florida Panthers lowest moneyline 2022-23,statmuse,0.6677740863787376,0.37453183520599254,0.6406699535616651,1.4975124378109452,2.67
2022-10-29,LAK,TOR,119,-142,4,2,1,20222023,Los Angeles Kings highest moneyline 2022-23,statmuse,0.45662100456621,0.5867768595041323,0.43762884733625085,2.19,1.704225352112676
2022-10-29,SJS,TBL,166,-202,3,4,0,20222023,Tampa Bay Lightning lowest moneyline 2022-23,statmuse,0.37593984962406013,0.6688741721854304,0.3598150884048992,2.66,1.495049504950495
2022-10-29,STL,MTL,-247,200,4,7,0,20222023,St. Louis Blues lowest moneyline 2022-23,statmuse,0.7118155619596542,0.3333333333333333,0.6810661764705883,1.4048582995951417,3.0
2022-10-30,ARI,NYR,195,-236,2,3,0,20222023,New York Rangers lowest moneyline 2022-23,statmuse,0.3389830508474576,0.7023809523809523,0.32551831040496026,2.95,1.423728813559322
2022-10-30,CHI,MIN,188,-229,3,4,0,20222023,Minnesota Wild lowest moneyline 2022-23,statmuse,0.3472222222222222,0.6960486322188449,0.33282078258406506,2.88,1.4366812227074237
2022-10-30,NJD,CBJ,-208,174,7,1,1,20222023,New Jersey Devils lowest moneyline 2022-23,statmuse,0.6753246753246753,0.36496350364963503,0.6491707672680882,1.4807692307692308,2.74
