game_id,game_date,game_type,away_team,home_team,away_score,home_score,home_win
2025020282,2025-11-14,2,NYI,UTA,3,2,0
2025020283,2025-11-15,2,TBL,FLA,3,1,0
2025020284,2025-11-15,2,ANA,MIN,0,2,1
2025020285,2025-11-15,2,BOS,MTL,3,2,0
2025020286,2025-11-15,2,LAK,OTT,1,0,0
2025020287,2025-11-15,2,BUF,DET,5,4,0
2025020288,2025-11-15,2,NJD,WSH,3,2,0
2025020289,2025-11-15,2,EDM,CAR,4,3,0
2025020290,2025-11-15,2,NYR,CBJ,2,1,0
2025020291,2025-11-15,2,TOR,CHI,2,3,1
2025020292,2025-11-15,2,VGK,STL,4,1,0
2025020293,2025-11-15,2,PHI,DAL,1,5,1
2025020294,2025-11-15,2,WPG,CGY,4,3,0
2025020295,2025-11-15,2,SJS,SEA,1,4,1
2025020296,2025-11-16,2,NSH,PIT,0,4,1
2025020297,2025-11-16,2,VAN,TBL,6,2,0
2025020298,2025-11-16,2,VGK,MIN,2,3,1
2025020299,2025-11-16,2,DET,NYR,2,1,0
2025020300,2025-11-16,2,NYI,COL,1,4,1
2025020301,2025-11-17,2,CAR,BOS,3,1,0
2025020302,2025-11-17,2,EDM,BUF,1,5,1
2025020303,2025-11-17,2,VAN,FLA,5,8,1
2025020304,2025-11-17,2,LAK,WSH,1,2,1
2025020305,2025-11-17,2,MTL,CBJ,3,4,1
2025020306,2025-11-17,2,UTA,ANA,2,3,1
2025020307,2025-11-18,2,STL,TOR,2,3,1
2025020308,2025-11-18,2,SEA,DET,2,4,1
2025020309,2025-11-18,2,NJD,TBL,1,5,1
2025020310,2025-11-18,2,NYI,DAL,3,2,0
2025020311,2025-11-18,2,CBJ,WPG,2,5,1
2025020312,2025-11-18,2,CGY,CHI,2,5,1
2025020313,2025-11-18,2,NYR,VGK,2,3,1
2025020314,2025-11-18,2,UTA,SJS,2,3,1
2025020315,2025-11-19,2,EDM,WSH,4,7,1
2025020316,2025-11-19,2,CGY,BUF,6,2,0
2025020317,2025-11-19,2,CAR,MIN,3,4,1
2025020318,2025-11-19,2,BOS,ANA,3,4,1
2025020319,2025-11-20,2,CBJ,TOR,3,2,0
2025020320,2025-11-20,2,WSH,MTL,8,4,0
2025020321,2025-11-20,2,NYI,DET,5,0,0
2025020322,2025-11-20,2,EDM,TBL,1,2,1
2025020323,2025-11-20,2,NJD,FLA,0,1,1
2025020324,2025-11-20,2,STL,PHI,2,3,1
2025020325,2025-11-20,2,SEA,CHI,3,2,0
2025020326,2025-11-20,2,NYR,COL,3,6,1
2025020327,2025-11-20,2,VGK,UTA,4,1,0
2025020328,2025-11-20,2,DAL,VAN,4,2,0
2025020329,2025-11-20,2,OTT,ANA,3,2,0
2025020330,2025-11-20,2,LAK,SJS,3,4,1
2025020331,2025-11-21,2,CHI,BUF,3,9,1
2025020332,2025-11-21,2,MIN,PIT,5,0,0
2025020333,2025-11-21,2,CAR,WPG,4,3,0
2025020334,2025-11-21,2,BOS,LAK,2,1,0
2025020335,2025-11-22,2,CBJ,DET,3,4,1
2025020336,2025-11-22,2,STL,NYI,2,1,0
2025020337,2025-11-22,2,TOR,MTL,2,5,1
2025020338,2025-11-22,2,EDM,FLA,6,3,0
2025020339,2025-11-22,2,NJD,PHI,3,6,1
2025020340,2025-11-22,2,SEA,PIT,3,2,0
2025020341,2025-11-22,2,TBL,WSH,5,3,0
2025020342,2025-11-22,2,OTT,SJS,3,2,0
2025020343,2025-11-22,2,COL,NSH,3,0,0
2025020344,2025-11-22,2,NYR,UTA,2,3,1
2025020345,2025-11-22,2,DAL,CGY,2,3,1
2025020346,2025-11-22,2,VGK,ANA,3,4,1
2025020347,2025-11-23,2,CAR,BUF,1,4,1
2025020348,2025-11-23,2,MIN,WPG,3,0,0
2025020349,2025-11-23,2,SEA,NYI,0,1,1
2025020350,2025-11-23,2,COL,CHI,1,0,0
2025020351,2025-11-23,2,BOS,SJS,1,3,1
2025020352,2025-11-23,2,CGY,VAN,5,2,0
2025020353,2025-11-24,2,PHI,TBL,0,3,1
2025020354,2025-11-24,2,DET,NJD,3,4,1
2025020355,2025-11-24,2,STL,NYR,2,3,1
2025020356,2025-11-24,2,CBJ,WSH,1,5,1
2025020357,2025-11-24,2,FLA,NSH,8,3,0
2025020358,2025-11-24,2,VGK,UTA,1,5,1
2025020359,2025-11-24,2,OTT,LAK,1,2,1
2025020360,2025-11-25,2,DAL,EDM,8,3,0
2025020361,2025-11-26,2,NSH,DET,6,3,0
2025020362,2025-11-26,2,CGY,TBL,1,5,1
2025020363,2025-11-26,2,PHI,FLA,4,2,0
2025020364,2025-11-26,2,STL,NJD,2,3,1
2025020365,2025-11-26,2,BOS,NYI,3,1,0
2025020366,2025-11-26,2,BUF,PIT,2,4,1
2025020367,2025-11-26,2,WPG,WSH,3,4,1
2025020368,2025-11-26,2,NYR,CAR,4,2,0
2025020369,2025-11-26,2,TOR,CBJ,2,1,0
2025020370,2025-11-26,2,MIN,CHI,4,3,0
2025020371,2025-11-26,2,SJS,COL,0,6,1
2025020372,2025-11-26,2,MTL,UTA,4,3,0
2025020373,2025-11-26,2,OTT,VGK,4,3,0
2025020374,2025-11-26,2,VAN,ANA,5,4,0
2025020375,2025-11-26,2,DAL,SEA,3,2,0
2025020376,2025-11-28,2,NYR,BOS,6,2,0
2025020377,2025-11-28,2,TBL,DET,6,3,0
2025020378,2025-11-28,2,COL,MIN,2,3,1
2025020379,2025-11-28,2,NJD,BUF,5,0,0
2025020380,2025-11-28,2,CGY,FLA,5,3,0
2025020381,2025-11-28,2,PHI,NYI,4,3,0
2025020382,2025-11-28,2,OTT,STL,3,4,1
2025020383,2025-11-28,2,MTL,VGK,4,1,0
2025020384,2025-11-28,2,LAK,ANA,4,5,1
2025020385,2025-11-28,2,VAN,SJS,2,3,1
2025020386,2025-11-28,2,TOR,WSH,2,4,1
2025020387,2025-11-28,2,WPG,CAR,1,5,1
2025020388,2025-11-28,2,PIT,CBJ,4,3,0
2025020389,2025-11-28,2,NSH,CHI,4,3,0
2025020390,2025-11-28,2,UTA,DAL,3,4,1
2025020391,2025-11-29,2,TBL,NYR,4,1,0
2025020392,2025-11-29,2,MTL,COL,2,7,1
2025020393,2025-11-29,2,EDM,SEA,4,0,0
2025020394,2025-11-29,2,DET,BOS,2,3,1
