game_date,home_team,away_team,home_odds,away_odds,home_score,away_score,home_win,source_query,source,market_home_raw_prob,market_away_raw_prob,market_home_no_vig_prob,home_decimal_odds,away_decimal_odds
2025-10-11,CGY,STL,-104,-116,2,4,0,Calgary Flames lowest moneyline this season,statmuse,0.5098039215686274,0.5370370370370371,0.48699271592091564,1.9615384615384617,1.8620689655172413
2025-10-11,CHI,MTL,137,-163,2,3,0,Montreal Canadiens lowest moneyline this season,statmuse,0.4219409282700422,0.6197718631178707,0.40504535583927553,2.37,1.6134969325153374
2025-10-11,COL,DAL,-147,123,4,5,0,Colorado Avalanche highest moneyline this season,statmuse,0.5951417004048583,0.4484304932735426,0.5702927924009673,1.6802721088435373,2.23
2025-10-11,DET,TOR,120,-143,6,3,1,Detroit Red Wings highest moneyline this season,statmuse,0.45454545454545453,0.588477366255144,0.43579626972740315,2.2,1.6993006993006992
2025-10-11,EDM,VAN,-178,148,3,1,1,Edmonton Oilers lowest moneyline this season,statmuse,0.6402877697841727,0.4032258064516129,0.6135883464917158,1.5617977528089888,2.48
2025-10-11,FLA,OTT,-154,127,6,2,1,Florida Panthers lowest moneyline this season,statmuse,0.6062992125984252,0.44052863436123346,0.5791775738096027,1.6493506493506493,2.27
2025-10-11,MIN,CBJ,-162,136,4,7,0,Columbus Blue Jackets highest moneyline this season,statmuse,0.6183206106870229,0.423728813559322,0.593369754159424,1.617283950617284,2.3600000000000003
2025-10-11,PIT,NYR,123,-148,1,6,0,New York Rangers lowest moneyline this season,statmuse,0.4484304932735426,0.5967741935483871,0.4290360528683136,2.23,1.6756756756756757
2025-10-11,SEA,VGK,157,-190,2,1,1,Seattle Kraken highest moneyline this season,statmuse,0.38910505836575876,0.6551724137931034,0.3726069638956701,2.5700000000000003,1.526315789473684
2025-10-11,SJS,ANA,109,-131,6,7,0,Anaheim Ducks lowest moneyline this season,statmuse,0.4784688995215311,0.5670995670995671,0.45761603835258224,2.09,1.7633587786259541
2025-10-11,TBL,NJD,-150,125,3,5,0,New Jersey Devils highest moneyline this season,statmuse,0.6,0.4444444444444444,0.574468085106383,1.6666666666666665,2.25
2025-10-11,WPG,LAK,-131,110,3,2,1,Los Angeles Kings highest moneyline this season,statmuse,0.5670995670995671,0.47619047619047616,0.5435684647302904,1.7633587786259541,2.1
2025-10-13,BUF,COL,150,-181,1,3,0,Buffalo Sabres highest moneyline this season,statmuse,0.4,0.6441281138790036,0.38309475119291064,2.5,1.5524861878453038
2025-10-13,CBJ,NJD,102,-122,2,3,0,Columbus Blue Jackets highest moneyline this season,statmuse,0.49504950495049505,0.5495495495495496,0.4739134147382802,2.02,1.819672131147541
2025-10-13,CHI,UTA,138,-164,3,1,1,Utah Mammoth lowest moneyline this season,statmuse,0.42016806722689076,0.6212121212121212,0.4034723071280108,2.38,1.6097560975609757
2025-10-13,OTT,NSH,-176,148,1,4,0,Nashville Predators highest moneyline this season,statmuse,0.6376811594202898,0.4032258064516129,0.6126207051426006,1.5681818181818183,2.48
2025-10-13,TOR,DET,-165,139,2,3,0,Detroit Red Wings highest moneyline this season,statmuse,0.6226415094339622,0.41841004184100417,0.5980890270721164,1.606060606060606,2.3899999999999997
2025-10-13,VAN,STL,-121,101,2,5,0,Vancouver Canucks lowest moneyline this season,statmuse,0.5475113122171946,0.4975124378109453,0.5239223627237674,1.8264462809917354,2.01
2025-10-14,ANA,PIT,-150,125,4,3,1,Anaheim Ducks lowest moneyline this season,statmuse,0.6,0.4444444444444444,0.574468085106383,1.6666666666666665,2.25
2025-10-14,CGY,VGK,148,-176,2,4,0,Calgary Flames highest moneyline this season,statmuse,0.4032258064516129,0.6376811594202898,0.3873792948573995,2.48,1.5681818181818183
2025-10-14,DAL,MIN,-199,164,5,2,1,Dallas Stars lowest moneyline this season,statmuse,0.6655518394648829,0.3787878787878788,0.6372943859478869,1.5025125628140703,2.6399999999999997
2025-10-14,MTL,SEA,-159,132,5,4,1,Montreal Canadiens lowest moneyline this season,statmuse,0.6138996138996139,0.43103448275862066,0.587500796330509,1.6289308176100628,2.3200000000000003
2025-10-14,SJS,CAR,220,-272,1,5,0,Carolina Hurricanes lowest moneyline this season,statmuse,0.3125,0.7311827956989247,0.29942047649710235,3.2,1.3676470588235294
2025-10-14,TOR,NSH,-177,148,7,4,1,Nashville Predators highest moneyline this season,statmuse,0.6389891696750902,0.4032258064516129,0.6131068774791889,1.5649717514124295,2.48
2025-10-14,WSH,TBL,-106,-113,3,2,1,Tampa Bay Lightning highest moneyline this season,statmuse,0.5145631067961165,0.5305164319248826,0.4923674110258199,1.9433962264150944,1.8849557522123894
2025-10-15,DET,FLA,135,-161,4,1,1,Detroit Red Wings highest moneyline this season,statmuse,0.425531914893617,0.6168582375478927,0.40822710565418,2.35,1.62111801242236
2025-10-15,STL,CHI,-251,205,3,8,0,Chicago Blackhawks highest moneyline this season,statmuse,0.7150997150997151,0.32786885245901637,0.6856387980833819,1.3984063745019921,3.05
2025-10-15,UTA,CGY,-231,190,3,1,1,Calgary Flames highest moneyline this season,statmuse,0.6978851963746223,0.3448275862068966,0.669297632131082,1.432900432900433,2.9
2025-10-16,ANA,CAR,163,-197,1,4,0,Anaheim Ducks highest moneyline this season,statmuse,0.38022813688212925,0.6632996632996633,0.3643679994111224,2.63,1.5076142131979695
2025-10-16,CBJ,COL,138,-164,1,4,0,Columbus Blue Jackets highest moneyline this season,statmuse,0.42016806722689076,0.6212121212121212,0.4034723071280108,2.38,1.6097560975609757
2025-10-16,LAK,PIT,-204,168,2,4,0,Los Angeles Kings lowest moneyline this season,statmuse,0.6710526315789473,0.373134328358209,0.6426556328756818,1.4901960784313726,2.6799999999999997
2025-10-16,MTL,NSH,-144,121,3,2,1,Montreal Canadiens lowest moneyline this season,statmuse,0.5901639344262295,0.45248868778280543,0.5660216277746158,1.6944444444444444,2.21
2025-10-16,NJD,FLA,-156,131,3,1,1,Florida Panthers highest moneyline this season,statmuse,0.609375,0.4329004329004329,0.5846583165682393,1.641025641025641,2.31
2025-10-16,NYI,EDM,137,-164,4,2,1,New York Islanders highest moneyline this season,statmuse,0.4219409282700422,0.6212121212121212,0.40448611877183305,2.37,1.6097560975609757
2025-10-16,OTT,SEA,-160,135,4,3,1,Ottawa Senators lowest moneyline this season,statmuse,0.6153846153846154,0.425531914893617,0.5911949685534592,1.625,2.35
2025-10-16,PHI,WPG,119,-141,2,5,0,Winnipeg Jets lowest moneyline this season,statmuse,0.45662100456621,0.5850622406639004,0.4383491878717329,2.19,1.7092198581560285
2025-10-16,TOR,NYR,-149,125,2,1,1,New York Rangers highest moneyline this season,statmuse,0.5983935742971888,0.4444444444444444,0.5738125802310654,1.6711409395973154,2.25
2025-10-16,VGK,BOS,-234,191,6,5,1,Boston Bruins highest moneyline this season,statmuse,0.7005988023952096,0.3436426116838488,0.6709165073797466,1.4273504273504274,2.91
2025-10-17,CHI,VAN,106,-126,2,3,0,Chicago Blackhawks lowest moneyline this season,statmuse,0.4854368932038835,0.5575221238938053,0.4654419639179504,2.06,1.7936507936507935
2025-10-17,UTA,SJS,-269,217,6,3,1,San Jose Sharks highest moneyline this season,statmuse,0.7289972899728997,0.31545741324921134,0.6979692730799768,1.3717472118959106,3.17
2025-10-18,BUF,FLA,130,-155,3,0,1,Buffalo Sabres highest moneyline this season,statmuse,0.43478260869565216,0.6078431372549019,0.4170073589533933,2.3,1.6451612903225805
2025-10-18,CBJ,TBL,-129,109,3,2,1,Columbus Blue Jackets lowest moneyline this season,statmuse,0.5633187772925764,0.4784688995215311,0.5407232105252603,1.7751937984496124,2.09
2025-10-18,COL,BOS,-267,215,4,1,1,Boston Bruins highest moneyline this season,statmuse,0.7275204359673024,0.31746031746031744,0.6962046272919167,1.3745318352059925,3.15
2025-10-18,LAK,CAR,115,-136,3,4,0,Carolina Hurricanes highest moneyline this season,statmuse,0.46511627906976744,0.576271186440678,0.4466313398940197,2.15,1.7352941176470589
2025-10-18,NJD,EDM,-104,-115,5,3,1,Edmonton Oilers highest moneyline this season,statmuse,0.5098039215686274,0.5348837209302325,0.48799650807507633,1.9615384615384617,1.8695652173913042
2025-10-18,OTT,NYI,-136,115,4,5,0,New York Islanders highest moneyline this season,statmuse,0.576271186440678,0.46511627906976744,0.5533686601059804,1.7352941176470589,2.15
2025-10-18,PHI,MIN,-116,-104,2,1,1,Philadelphia Flyers lowest moneyline this season,statmuse,0.5370370370370371,0.5098039215686274,0.5130072840790842,1.8620689655172413,1.9615384615384617
2025-10-18,SJS,PIT,138,-164,0,3,0,Pittsburgh Penguins lowest moneyline this season,statmuse,0.42016806722689076,0.6212121212121212,0.4034723071280108,2.38,1.6097560975609757
2025-10-18,TOR,SEA,-198,164,3,4,0,Seattle Kraken highest moneyline this season,statmuse,0.6644295302013423,0.3787878787878788,0.6369041816941223,1.5050505050505052,2.6399999999999997
2025-10-18,VGK,CGY,-245,200,6,1,1,Calgary Flames highest moneyline this season,statmuse,0.7101449275362319,0.3333333333333333,0.6805555555555556,1.4081632653061225,3.0
2025-10-18,WPG,NSH,-185,153,4,1,1,Nashville Predators highest moneyline this season,statmuse,0.6491228070175439,0.3952569169960474,0.6215390744306487,1.5405405405405406,2.5300000000000002
2025-10-19,CHI,ANA,109,-130,2,1,1,Chicago Blackhawks lowest moneyline this season,statmuse,0.4784688995215311,0.5652173913043478,0.4584412995814232,2.09,1.7692307692307692
2025-10-19,UTA,BOS,-224,184,3,2,1,Boston Bruins highest moneyline this season,statmuse,0.691358024691358,0.352112676056338,0.6625562406265623,1.4464285714285714,2.84
2025-10-19,WSH,VAN,-164,138,3,4,0,Washington Capitals lowest moneyline this season,statmuse,0.6212121212121212,0.42016806722689076,0.5965276928719893,1.6097560975609757,2.38
